Id	PROJECT	ASSAY	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA	diff	diffCont	order	class
19611	PXD000314	29935	1329	1323	6	1	0	0.99548532731377	1	7884	1
7579	PRD000053	8910	664	661	3	26	1	0.995481927710843	0.998493975903614	7885	1
3613	PRD000489	18156	1990	1981	9	2	0	0.995477386934673	1	7886	1
14100	PRD000485	18123	4421	4401	20	0	0	0.995476136620674	1	7887	1
4195	PRD000092	9020	221	220	1	19	0	0.995475113122172	1	7888	1
9023	PRD000721	25175	221	220	1	0	0	0.995475113122172	1	7889	1
9101	PRD000721	25253	221	220	1	0	0	0.995475113122172	1	7890	1
6929	PXD000185	28867	1988	1979	9	0	0	0.995472837022133	1	7891	1
182	PRD000441	17684	14340	14275	65	380	1	0.995467224546722	0.999930264993027	7892	1
7499	PRD000053	3850	1544	1537	7	48	1	0.995466321243523	0.999352331606218	7893	1
10977	PXD001572	42287	1985	1976	9	249	1	0.995465994962217	0.999496221662469	7894	1
5248	PRD000593	19842	441	439	2	0	0	0.99546485260771	1	7895	1
6930	PXD000185	28868	1101	1096	5	0	0	0.995458673932788	1	7896	1
8651	PRD000493	18185	4182	4163	19	0	0	0.995456719273075	1	7897	1
14807	PXD000218	29432	440	438	2	13	0	0.995454545454545	1	7898	1
6922	PXD000185	28860	1539	1532	7	0	0	0.99545159194282	1	7899	1
12130	PRD000327	15152	1099	1094	5	0	2	0.995450409463148	0.998180163785259	7900	1
6644	PRD000504	18212	10750	10701	49	6349	42	0.995441860465116	0.996093023255814	7901	1
8511	PRD000280	13333	10530	10482	48	0	1	0.995441595441595	0.999905033238367	7902	1
3073	PRD000608	20216	658	655	3	272	0	0.995440729483283	1	7903	1
19428	PRD000154	10050	4819	4797	22	150	1	0.995434737497406	0.999792488068064	7904	1
1227	PXD000426	30714	219	218	1	6	0	0.995433789954338	1	7905	1
9030	PRD000721	25182	219	218	1	0	0	0.995433789954338	1	7906	1
470	PXD001091	37879	5253	5229	24	0	0	0.995431182181611	1	7907	1
6612	PRD000668	22185	3064	3050	14	228	1	0.995430809399478	0.99967362924282	7908	1
15567	PXD001072	37792	1749	1741	8	0	3	0.995425957690109	0.998284734133791	7909	1
1170	PXD000426	30657	437	435	2	8	0	0.995423340961098	1	7910	1
10924	PRD000349	15491	3495	3479	16	0	4	0.995422031473534	0.998855507868383	7911	1
2286	PXD000780	35125	436	434	2	0	0	0.995412844036697	1	7912	1
4683	PXD000948	36403	218	217	1	5	0	0.995412844036697	1	7913	1
4855	PXD000948	36507	218	217	1	5	0	0.995412844036697	1	7914	1
4024	PRD000044	3348	13266	13205	61	0	2	0.995401778983869	0.999849238655209	7915	1
5409	PRD000204	11697	434	432	2	0	2	0.995391705069124	0.995391705069124	7916	1
8990	PRD000721	25142	217	216	1	0	0	0.995391705069124	1	7917	1
13888	PXD000966	37624	1736	1728	8	55	0	0.995391705069124	1	7918	1
2255	PXD000780	35096	1083	1078	5	0	0	0.995383194829178	1	7919	1
3123	PRD000608	20266	2166	2156	10	30	0	0.995383194829178	1	7920	1
10967	PRD000349	15535	11911	11856	55	0	2	0.995382419612123	0.999832087985895	7921	1
10929	PRD000349	15496	7362	7328	34	0	0	0.995381689758218	1	7922	1
